training_id,employee_id,resource_id,resource_title,completion_date,completion_score,duration_hours,feedback_score,attempt_number,status,validated_by_manager
TRN-00001,EMP-0003,LR-030,Budget & Vendor Management,2025-02-19,71,6,3.6,1,Completed,Yes
TRN-00002,EMP-0005,LR-007,Feature Engineering for ML,2025-07-17,57,8,3.2,1,Completed,Yes
TRN-00003,EMP-0010,LR-007,Feature Engineering for ML,2024-05-01,85,8,4.3,1,Completed,Yes
TRN-00004,EMP-0012,LR-032,Critical Thinking & Problem Solving,2025-07-15,91,4,4.4,1,Completed,Yes
TRN-00005,EMP-0013,LR-005,Machine Learning A-Z,2024-11-06,59,20,3.3,1,Completed,Yes
TRN-00006,EMP-0013,LR-020,Cloud Architecture Design,2024-12-04,73,14,3.8,2,Completed,Yes
TRN-00007,EMP-0013,LR-024,Leadership Essentials,2025-11-15,70,6,3.7,3,Completed,Yes
TRN-00008,EMP-0013,LR-016,Docker & Kubernetes Essentials,2024-03-29,79,14,4.0,4,Completed,Yes
TRN-00009,EMP-0014,LR-011,Next.js Full-Stack Development,2025-07-24,66,14,3.6,1,Completed,Yes
TRN-00010,EMP-0017,LR-037,Financial Analysis Basics,2025-06-21,78,6,4.0,1,Completed,Yes
TRN-00011,EMP-0018,LR-025,Agile & Scrum Certification,2025-04-03,56,16,3.2,1,Completed,Yes
TRN-00012,EMP-0021,LR-004,Advanced SQL & PostgreSQL,2023-04-06,79,8,4.2,1,Completed,Yes
TRN-00013,EMP-0021,LR-019,AWS Cloud Practitioner,2025-01-30,92,16,4.6,2,Completed,Yes
TRN-00014,EMP-0023,LR-005,Machine Learning A-Z,2024-08-24,63,20,3.3,1,Completed,Yes
TRN-00015,EMP-0023,LR-022,Software Testing Fundamentals,2023-10-23,86,8,4.1,2,Completed,Yes
TRN-00016,EMP-0024,LR-010,React & TypeScript Bootcamp,2025-07-09,77,16,4.0,1,Completed,Yes
TRN-00017,EMP-0027,LR-026,Project Management Professional,2025-08-06,73,40,3.5,1,Completed,Yes
TRN-00018,EMP-0027,LR-021,Terraform Infrastructure as Code,2025-11-18,60,8,3.0,2,Completed,Yes
TRN-00019,EMP-0028,LR-033,Negotiation & Conflict Resolution,2025-02-28,50,4,2.9,1,Completed,No
TRN-00020,EMP-0029,LR-029,Operations & Production Management,2024-06-08,63,10,3.3,1,Completed,Yes
TRN-00021,EMP-0029,LR-038,Financial Modeling & Valuation,2025-04-25,48,10,2.8,2,Completed,No
TRN-00022,EMP-0029,LR-002,Python for Data Science,2025-04-02,68,12,3.5,3,Completed,Yes
TRN-00023,EMP-0029,LR-027,Strategic Planning & Execution,2024-12-19,69,8,3.5,4,Completed,Yes
TRN-00024,EMP-0030,LR-019,AWS Cloud Practitioner,2025-07-22,50,16,3.0,1,Completed,No
TRN-00025,EMP-0031,LR-030,Budget & Vendor Management,2025-04-09,81,6,4.0,1,Completed,Yes
TRN-00026,EMP-0031,LR-020,Cloud Architecture Design,2023-12-01,80,14,4.0,2,Completed,Yes
TRN-00027,EMP-0031,LR-007,Feature Engineering for ML,2023-08-06,92,8,4.4,3,Completed,Yes
TRN-00028,EMP-0034,LR-036,SEO & Content Marketing,2025-06-21,73,6,3.5,1,Completed,Yes
TRN-00029,EMP-0034,LR-035,Digital Marketing Fundamentals,2025-11-09,49,8,2.6,2,Completed,No
TRN-00030,EMP-0035,LR-031,Communication & Presentation Skills,2025-03-10,64,4,3.5,1,Completed,Yes
TRN-00031,EMP-0038,LR-004,Advanced SQL & PostgreSQL,2025-10-22,79,8,4.1,1,Completed,Yes
